id;nome_para_o_endereco;cep;cidade;bairro;logradouro;numero;complemento;referencia
1;lilás Technician compress;Dirham e;indexing access synthesizing;Division laranja;deposit Refinado;Pernambuco;National Lithuanian dourado;payment
2;navigate distributed;lima Met;panel Computador Account;Representative paradigms Genérico;circuit Aço;Zimbábue Inverse Internal;Ferramentas;Manager invoice
3;Fantástico;orchestr;District Interactions calculate;RSS;violeta infomediaries visualize;Account;Travessa;Rua
4;Avenida;circuit ;Avon Roraima adapter;marca International;Jardim Ceará;Customer global;Congelado AGP;Bahia multi-byte transmitter
5;Paraíba Licenciado;hapticXX;Account;Sul drive;payment Iêmen;synthesize infomediaries fresh;discrete Guadalupe;Rústico synthesize Plástico
6;orchestrate Federal;Avon alg;grená;e-tailers card Assistant;Turismo Belize;Specialist;Peixe harness Faso;Qatari robust São
7;verde deposit;leading ;Concreto;customized Berkshire marca;Facilitator;Montenegro microchip Piauí;digital sensor;bypass functionalities Exclusive
8;hacking;Metal co;multi-byte Money Officer;SAS success;Atum;do;framework;virtual
9;Refinado navigating;orchestr;framework Buckinghamshire Function-based;Avenida castanho cobre;protocol virtual;Internal bottom-line Mesa;architectures;drive copying Calças
10;product Buckinghamshire;depositX;Program multimedia Krona;online;Eletrônicos Lead Personal;haptic;Salsicha Macio empower;Global National Senior
